company,Owner Name,mobile,email,address,pincode,city,website,category,State
Heqtors Gym,Swamy Aravind,9003210407,support@cosmichydraulics.in,"No 9, 2nd Cross Street, Opposite To First Source Thirumalai Nagar Annex, Perungudi",600096,Chennai,heqtorsgym.com,Gymnasiums/Health Clubs,NULL
bodycraft gym,bodycraft gym,8802695845,dayogesh53@gmail.com,rz-91 vashist park new delhi-46,110011,Delhi,bodycraftgyms.com,Gymnasiums/Health Clubs,NULL
Gymbo,M G,9882899093,heyagymbo@gmail.com,Ambala Ambala,134003,Ambala,gymbo.xyz,Gymnasiums/Health Clubs,NULL
citygoldgym,yashwant verma,9311619944,verma.yashwant84@gmail.com,"2866/213, vishram nagar, tri nagar",110035,delhi,citygoldgym.com,Gymnasiums/Health Clubs,NULL
Burn gym and spa private limited,Pankaj Kasrija,1724416063,kasrija@yahoo.com,"Flat No-6365|Rajiv Vihar, Manimajra",160101,Chandigarh,fitme360.com,Gymnasiums/Health Clubs,NULL
SUPER MULTI GYM,ARNAB DAS,9836171319,arnab9836171319@gmail.com,"post-bamangachi , baisali|p.s.- duttapukur , north 24 parganas",743248,Kolkata,supermultigyms.com,Gymnasiums/Health Clubs,NULL
Tech Gym Solutions Pvt. Ltd.,Manish Jayaswal,9819363572,ablemanish@gmail.com,Gurgaon,122001,Gurgaon,rentxprt.com,Gymnasiums/Health Clubs,NULL
Fittness point multi gym,Manoj Gupta,9570022022,manoj94gupta5@gmail.com,Karamtoli chowk nanhu complex,834009,Ranchi,fittnesspoint.com,Gymnasiums/Health Clubs,NULL
world88gym,harneel degra,9041551569,heftythehunk@yahoo.com,world88gym sutehri road,146001,Hoshiarpur,world88gyms.com,Gymnasiums/Health Clubs,NULL
BENEFIT EXPRESS GYM,Aditya Kumar,9711300005,k_aditya@ymail.com,"b 148, sector 50, noida",201301,Noida,prozata.com,Gymnasiums/Health Clubs,NULL
Iron Life Gym,Manimaran,9840856756,manimaran2233@gmail.com,"3145, TNHB, Avadi",600054,Chennai,ironlifegym.com,Gymnasiums/Health Clubs,NULL
Muscles Line Gym,Amol Bhise,9768727025,musclesline@gmail.com,khanda colony,410206,Mumbai,muscleslinegym.com,Gymnasiums/Health Clubs,NULL
GARDEN GYM,maNJIT SIDHU,9312261944,sidhumanjit7@yahoo.co.in,360 agcr enclave,110092,DELHI,eternityimpex.com,Gymnasiums/Health Clubs,NULL
Gym Time,Rajesh R,9884709851,r_rajesh_78@yahoo.com,"No 105&106 Raj towers 3rd floor, mogappair west main road nolamb ur, Mogappair West, Opp to French loaf",600037,Chennai,gymtimeindia.com,Gymnasiums/Health Clubs,NULL
engymaxx,Harshida Patel,9727260611,patel.hina.m@gmail.com,Ahmedabad,380026,Ahmedabad,engymaxx.com,Gymnasiums/Health Clubs,NULL
sapphiregym,sapphire gym,9907327043,sapphiregymindore@gmail.com,"plot no.69,scheme no.78 part 2 indore Not Available",452001,Indore,sapphiregym.com,Gymnasiums/Health Clubs,NULL
rose rock gym,pawan kumar,9417048965,kreativeproindia@yahoo.com,near jalandhar bye pass,141008,Ludhiana,martialartworld.com,Gymnasiums/Health Clubs,NULL
GYM FITNESS POINT,CHUNKEY PANDEY,9807897655,sureshkumar198689@yahoo.com,1256 PHASE 9,172001,SHIMLA,scofcomuscan.com,Gymnasiums/Health Clubs,NULL
Workout The Gym,Himanshu Yadav,9838280238,workoutthegym@gmail.com,46/6 Gokhale vihar Marg,226001,Lucknow,workoutthegym.com,Gymnasiums/Health Clubs,NULL
Synergy Gym,Jackwelin,7405885050,synergygym2015@gmail.com,"206,306, Kansas Complex, Near Cadila Bridge, Ghodasar Cross Road",380008,Ahmedabad,synergygym2015.com,Gymnasiums/Health Clubs,NULL
Ss fitness and gym center,Ss fitness and gym center,9838241551,choubey.rajkumar@gmail.com,"Ghazipur,India",110011,Ghazipur,ssfitnessgym.com,Gymnasiums/Health Clubs,NULL
Sam's Fitness Gym,Tulu Jena,9377889955,samsfitnessgym@gmail.com,Surat,394221,Surat,samsfitnessgym.com,Gymnasiums/Health Clubs,NULL
Mr. India&#39;s well Gym,Prantosh Dey,9830879389,mrindiaswellgym05@gmail.com,Sarisha Para More,712136,Kolkata,mrindiaswellgym.org,Gymnasiums/Health Clubs,NULL
gym,kunal parsana,9925335633,refreshfitness.jnd@gmail.com,301 saikrupa,362001,junagadh,refreshfitnessjnd.xyz,Gymnasiums/Health Clubs,NULL
The Hyderabad Gym Khana Club,Uday Devineni,4023608864,thehyderabadgymkhana@gmail.com,"Plot Number 7B & 7B|Road Number 2, Banjara Hills|Park View Enclave, Jubilee Hills",500034,Hyderabad,hyderabadgymkhanaclub.org,Gymnasiums/Health Clubs,NULL
Animal Gym,Animal Gym Khuyathong,7308952910,animalgymimphal@gmail.com,Khuyathong Polem Leikai,795001,Imphal,animalgym.org,Gymnasiums/Health Clubs,NULL
Body Sculptor Gym,Chirag,9825600165,bodysculptor09@gmail.com,Ahmedabad,380009,Ahmedabad,bodysculptorgym.com,Gymnasiums/Health Clubs,NULL
gymNearn,Ajinkya Joshi,8087051286,meajinkyajoshi@gmail.com,"1271, Sadashiv peth, suvinay apt pune.",411030,pune,gymnearn.com,Gymnasiums/Health Clubs,NULL
Bouncer gym,siddharth panwar,9711002971,siddh0285@gmail.com,48-d pocket - I dilshad garden,110095,delhi,bouncergym.com,Gymnasiums/Health Clubs,NULL
chanti gym,sai,7842796659,saikrishna.gudey1@gmail.com,"7-7-34,old bazaar street,tuni-533401",533401,Visakhapatnam,health-fitness-fatloss-abs-gym.com,Gymnasiums/Health Clubs,NULL
Seth G. S. M. C. Gymkhana,Jayesh Vira,9969468820,jayesh113.60@gmail.com,"16/A Vira Bldg, 1 st floor, Room number 4, Parel",400012,Mumbai,gosumec.com,Gymnasiums/Health Clubs,NULL
AquaGym,Susan Hunt,9958050387,hunt.susan010@gmail.com,"107, Jor Bagh",110003,Delhi,aquagym.asia,Gymnasiums/Health Clubs,NULL
GYMTREKKER FITNESS PRIVATE LTD,HARSHIT SETHY,9595054195,hsethy1@gmail.com,"B 104, SHRI SAINATH SOCIETY,",400055,Mumbai,fitnesstrekker.com,Gymnasiums/Health Clubs,NULL
burlybrosgym,paritosh singh,9636361203,paritoshsingh111@gmail.com,A 439 saraswati nagar basni 1st phase,342005,jodhpur,burlybrosgym.com,Gymnasiums/Health Clubs,NULL
21fitnessthegym,Gagandeep Chopra,9999473004,chopra.sunnychopra@gmail.com,385 A.G.C.R. Enclave,110092,Delhi,21fitnessluxurygym.com,Gymnasiums/Health Clubs,NULL
googymoon,Arshad Khan,9749480393,arshadayubkhan.bnp@gmail.com,"Hussainnagar, P.o- Dharampur , Burnpur",713325,Asansol,parweenconstruction.com,Gymnasiums/Health Clubs,NULL
Gymlife,Raghav Gupta,9999978188,raghavgupta1993@gmail.com,"14/6 ,shakti nagar",110007,Delhi,yoursuccessguru.com,Gymnasiums/Health Clubs,NULL
Gymographic,Rishi Swami,9987154033,rishi.swami20@gmail.com,Goregaon,400063,Mumbai,klikpass.com,Gymnasiums/Health Clubs,NULL
Uniquegym Equipments pvt. ltd,Ramesh Patel,9227176400,info@uniquegym.com,"12,Agrawal Estate,Nr.Swastik eng.,Gulabnagar",380026,Ahmedabad,uniquegymequipments.com,Gymnasiums/Health Clubs,NULL
Gymso,Rahil Abbas,9867435653,mafs.grp@gmail.com,Panchrathna,400612,Thane,eventpermission.com,Gymnasiums/Health Clubs,NULL
mygymnspa,hitendra bajak,8800657930,hitendra.bajak@yahoo.in,"MEGHWAL VAS MANDAR|TEH-REODAR, DIST-SIROHI RAJASTHAN",307513,Sirohi,mygymnspa.com,Gymnasiums/Health Clubs,NULL
New Delhi Gym Khana Club,Brijendra Agrwal,8800381917,newdelhigymkhanaclub@gmail.com,G 65 sector 63 Noida,201301,Noida,greenvillagesociety.com,Gymnasiums/Health Clubs,NULL
Dinesh Gym,Dinesh Gym,8100759473,dineshgym1990@gmail.com,Garia,700091,Kolkata,kolkatagymtrainer.com,Gymnasiums/Health Clubs,NULL
Biggymzone,Pendem Rajini,9550283999,edm12b023@iiitdm.ac.in,Nijampet  Above bajaj rangareddy dist.|Rajiv gandhi nagar  Bachupalli,50072,Hyderabad,biggymzone.com,Gymnasiums/Health Clubs,NULL
Golden Gym,Murugesh Babu,9751236373,babugoldengym@gmail.com,"1/A, Gnana Sammanthapuram Street,Mudangiyar Road,",626117,Rajapalayam,goldengymrjpm.net,Gymnasiums/Health Clubs,NULL
Unique Gym Equipment Pvt. Ltd.,Unique Gym Equipment Pvt. Ltd.,9122760082,sales@uniquegym.com,"No. 12, Agrawal Estate, Behind Swastik Textile, Gulabnagar Amraiwadi",380026,Ahmedabad,uniquegym.net,Gymnasiums/Health Clubs,NULL
Shree Hanuman Gym & Fitness Center,Bhupender Singh,9541142577,suniliimc@gmail.com,Inside Gosai Gate Barwala Road,125033,Hansi,shreehanumangym.com,Gymnasiums/Health Clubs,NULL
Gym Shoppee,UDIT GOSWAMI,8803200780,uditgoswami04@gmail.com,"Sector D Extension|Chowadi Road, SAINIK COLONY",180011,JAMMU,gymshoppee.com,Gymnasiums/Health Clubs,NULL
gymkijankaari.blogspot.com,Vijaypal Singh panwar,7746986336,panwarv25@gmail.com,Bherupachlana|vill.pachlanabil,456771,Barnagar,gymkijankaari.com,Gymnasiums/Health Clubs,NULL
BRIX GYM,Himanshu Aggarwal,9910610678,ankit_aggarwal@aol.in,B1/B6|Janakpuri,110058,Delhi,vishesheventz.com,Gymnasiums/Health Clubs,NULL
Kharghar Gymkhana,Gurmeet,9702232233,gurmeetsinghrao@gmail.com,"B/305, EMERALD BUILD, KIRTI C.H.S, PLOT- 46, SECTOR- 11, KHARGHAR,",410210,Mumbai,yurif.com,Gymnasiums/Health Clubs,NULL
Gym For You,Nimit Naik,9890947184,nimitnaik24@gmail.com,"Aundh, Pune",411007,Pune,gymforyou.net,Gymnasiums/Health Clubs,NULL
flex gym,shakir khan,7738141308,shakirchamp@gmail.com,sai baba nagar 90 feet road daharavi,400017,Mumbai,vflexgym.net,Gymnasiums/Health Clubs,NULL
master gym,pm velu,9445225224,goshinkaikaratedo@gmail.com,"I attorney road, mettupalayam",641301,coimbatore,goshinkaikaratedo.com,Gymnasiums/Health Clubs,NULL
,,,,,,,,,
"📂 Sample Database Preview
This is a sample database provided for your reference.
We upload new databases every week to ensure you always have access to fresh and relevant information.

📧 Note: If you are a registered customer, you will receive an email notification every time a new database is uploaded.

✅ Database Accuracy: Our databases maintain an accuracy rate of 80–90%, ensuring reliable and actionable data.

🔐 Access Duration: As a customer, you will receive 1-year access to our exclusive website portal, where you can view and download all updated databases.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,you will get this too,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
and many more,,,,,,,,,
